id_solicitante,produto_solicitado,dia_vencimento,forma_envio_solicitacao,tipo_endereco,sexo,idade,estado_civil,qtde_dependentes,grau_instrucao,nacionalidade,estado_onde_nasceu,estado_onde_reside,possui_telefone_residencial,codigo_area_telefone_residencial,tipo_residencia,meses_na_residencia,possui_telefone_celular,possui_email,renda_mensal_regular,renda_extra,possui_cartao_visa,possui_cartao_mastercard,possui_cartao_diners,possui_cartao_amex,possui_outros_cartoes,qtde_contas_bancarias,qtde_contas_bancarias_especiais,valor_patrimonio_pessoal,possui_carro,vinculo_formal_com_empresa,estado_onde_trabalha,possui_telefone_trabalho,codigo_area_telefone_trabalho,meses_no_trabalho,profissao,ocupacao,profissao_companheiro,grau_instrucao_companheiro,local_onde_reside,local_onde_trabalha
20024,1,25,internet,1,F,22,1,0,0,1,AL,AL,Y,100,1.0,22.0,N,1,250.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,2.0,,571.0,571.0
20025,2,5,presencial,1,F,27,6,1,0,1,MG,MG,Y,33,1.0,2.0,N,1,442.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,379.0,379.0
20026,1,10,internet,1,F,46,3,0,0,1,AL,AL,Y,100,1.0,20.0,N,1,600.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,2.0,4.0,,,570.0,570.0
20027,1,25,presencial,1,F,66,2,0,0,1,PE,PE,N, ,1.0,10.0,N,1,300.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,552.0,552.0
20028,2,5,internet,1,F,57,2,0,0,1,CE,CE,N, ,1.0,20.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,629.0,629.0
20029,2,10,presencial,1,F,65,2,0,0,1,BA,BA,Y,84,1.0,7.0,N,0,350.0,0.0,0,0,0,0,0,1,1,25000.0,1,Y, ,N, ,0,0.0,0.0,0.0,0.0,459.0,459.0
20030,2,1,presencial,1,M,39,2,2,0,1,MG,MG,Y,29,1.0,37.0,N,1,1033.0,0.0,0,0,0,0,0,1,1,0.0,0,Y, ,Y,29,0,9.0,2.0,,,340.0,340.0
20031,1,10,internet,1,M,36,2,0,0,1,MG,RJ,Y,24,1.0,15.0,N,1,528.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RJ,Y,24,0,9.0,5.0,,,273.0,273.0
20032,1,25,presencial,1,F,21,1,0,0,1,RN,RN,Y,105,1.0,1.0,N,1,385.0,0.0,0,0,0,0,0,1,1,0.0,0,Y, ,N, ,0,,,,,596.0,596.0
20033,1,25,internet,1,F,38,2,2,0,1,MS,MS,Y,75,1.0,3.0,N,1,500.0,0.0,1,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,790.0,790.0
20034,1,5,presencial,1,F,47,4,4,0,1,RS,RS,Y,58,1.0,10.0,N,0,1027.0,0.0,0,0,0,0,0,1,1,0.0,1,N,RS,N, ,0,9.0,5.0,0.0,0.0,960.0,960.0
20035,1,1,presencial,1,F,39,1,0,0,0, ,SC,Y,48,1.0,1.0,N,1,945.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,10.0,2.0,11.0,0.0,892.0,892.0
20036,1,25,internet,1,F,51,2,0,0,1,PE,PE,N, ,1.0,,N,1,200.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,533.0,533.0
20037,1,15,internet,1,F,37,1,2,0,1,CE,CE,Y,107,1.0,5.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,619.0,619.0
20038,2,15,presencial,1,F,56,2,0,0,1,ES,ES,Y,25,1.0,50.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,1.0,0.0,0.0,291.0,291.0
20039,2,15,internet,1,F,21,1,0,0,1,CE,CE,Y,112,5.0,10.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,2.0,,,628.0,628.0
20040,1,10,internet,1,F,32,2,2,0,1,CE,CE,Y,107,1.0,6.0,N,1,508.0,0.0,1,0,0,0,0,0,0,0.0,0,Y,CE,Y,107,0,9.0,2.0,,,628.0,628.0
20041,1,10,presencial,1,F,53,3,0,0,1,RS,RS,Y,58,1.0,2.0,N,0,1200.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,962.0,962.0
20042,1,15,presencial,1,F,33,2,0,0,1,GO,DF,Y,66,1.0,3.0,N,0,1009.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,DF,Y,66,0,9.0,2.0,2.0,4.0,722.0,722.0
20043,1,5,presencial,1,F,41,4,2,0,0, ,RR,Y,122,1.0,1.0,N,1,664.0,0.0,0,0,0,0,0,2,2,0.0,0,N, ,N, ,0,9.0,1.0,11.0,0.0,693.0,693.0
20044,1,5,internet,1,M,63,4,0,0,1,RS,RS,Y,54,1.0,10.0,N,1,1973.12,0.0,0,0,0,0,0,1,1,0.0,0,Y,RS,N, ,0,9.0,2.0,,,932.0,932.0
20045,1,10,presencial,1,F,31,1,0,0,1,CE,CE,Y,107,1.0,10.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,605.0,605.0
20046,1,10,internet,1,M,51,2,3,0,1,RS,RS,Y,54,1.0,20.0,N,1,560.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RS,N, ,0,,,,,925.0,925.0
20047,1,15,presencial,1,F,32,1,0,0,1,SP,SP,Y,14,1.0,19.0,N,0,840.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,Y,14,0,9.0,2.0,0.0,0.0,140.0,140.0
20048,1,25,presencial,1,F,39,1,0,0,1,SP,SP,Y,14,1.0,5.0,N,0,800.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,144.0,144.0
20049,1,5,presencial,1,F,22,1,0,0,1,SP,SP,Y,14,2.0,2.0,N,1,963.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,N, ,0,9.0,2.0,0.0,0.0,140.0,140.0
20050,1,10,internet,1,M,35,2,0,0,1,PE,SP,Y,5,1.0,3.0,N,1,964.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,707.0,707.0
20051,1,10,presencial,1,M,24,0,1,0,0, ,MG,Y,29,1.0,0.0,N,1,1218.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,Y,29,0,9.0,2.0,11.0,0.0,317.0,317.0
20052,1,20,internet,1,M,33,1,0,0,1,PE,PE,Y,97,1.0,,N,1,423.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,,,,,555.0,555.0
20053,1,10,presencial,1,M,44,2,0,0,1,RS,RS,Y,58,1.0,1.0,N,1,665.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,11.0,,960.0,960.0
20054,1,10,internet,1,F,28,1,0,0,1,RJ,SP,Y,5,2.0,0.0,N,1,800.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,683.0,683.0
20055,1,1,presencial,1,F,33,0,1,0,0, ,RS,Y,54,0.0,0.0,N,1,836.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,N, ,0,11.0,5.0,11.0,0.0,906.0,906.0
20056,1,1,internet,1,M,41,2,0,0,1,PA,PI,Y,110,1.0,2.0,N,1,872.0,0.0,1,1,0,0,0,1,1,0.0,0,Y, ,Y,22,0,12.0,2.0,16.0,4.0,642.0,642.0
20057,2,5,internet,1,F,37,1,0,0,1,BA,BA,Y,81,1.0,15.0,N,1,443.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,BA,Y,81,0,9.0,2.0,,,411.0,411.0
20058,1,25,internet,1,M,45,1,0,0,1,GO,GO,Y,67,2.0,0.0,N,1,500.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,GO,Y,67,0,9.0,2.0,,,763.0,763.0
20059,1,10,internet,1,F,55,4,0,0,1,AL,AL,N, ,1.0,6.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,571.0,571.0
20060,1,15,presencial,1,M,49,2,3,0,0, ,TO,Y,68,1.0,0.0,N,1,360.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,2.0,11.0,0.0,778.0,778.0
20061,1,10,internet,1,M,43,2,0,0,1,RN,RN,Y,105,1.0,15.0,N,1,819.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,596.0,596.0
20062,1,5,internet,1,F,54,1,1,0,1,MG,MG,Y,32,1.0,7.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,MG,N, ,0,,,,,381.0,381.0
20063,1,10,internet,1,F,37,1,2,0,1,CE,CE,Y,107,1.0,19.0,N,1,2400.0,300.0,1,1,0,0,0,0,0,0.0,0,Y,CE,Y,107,0,9.0,2.0,,,617.0,617.0
20064,1,10,internet,1,M,25,1,0,0,1,PE,PE,Y,97,1.0,,N,1,351.33,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,1.0,,,545.0,545.0
20065,1,5,presencial,1,F,37,2,0,0,1,RS,RS,Y,54,1.0,18.0,N,1,580.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,2.0,4.0,0.0,0.0,948.0,948.0
20066,2,10,presencial,1,F,52,4,1,0,1,MG,MG,Y,29,1.0,25.0,N,0,1450.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,5.0,0.0,0.0,320.0,320.0
20067,2,15,presencial,1,F,30,2,0,0,1,ES,ES,Y,27,1.0,12.0,N,0,1100.0,0.0,0,0,0,0,0,1,1,80000.0,1,N, ,N, ,0,2.0,4.0,0.0,0.0,292.0,292.0
20068,1,10,presencial,1,F,35,2,0,0,1,PI,SP,Y,5,2.0,5.0,N,1,558.0,300.0,0,0,0,0,0,0,0,0.0,1,Y,SP,N, ,0,9.0,2.0,9.0,4.0,212.0,212.0
20069,1,25,presencial,1,M,66,2,12,0,1,AL,BA,N, ,1.0,10.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,486.0,486.0
20070,1,10,presencial,1,F,26,2,0,0,1,SE,SE,Y,91,1.0,15.0,N,1,350.0,350.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,5.0,0.0,0.0,492.0,492.0
20071,1,15,presencial,1,F,59,1,0,0,1,SP,SP,Y,5,1.0,52.0,N,0,351.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,1.0,0.0,0.0,224.0,224.0
20072,1,10,correio,1,F,38,2,0,0,1,CE,CE,Y,107,1.0,1.0,N,1,482.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,11.0,2.0,11.0,,616.0,616.0
20073,1,15,internet,1,M,50,2,2,0,1,PE,PE,Y,97,1.0,8.0,N,1,1013.0,0.0,0,1,0,0,0,0,0,0.0,0,Y,PE,Y,97,0,9.0,2.0,,,541.0,541.0
20074,1,10,correio,1,F,54,2,0,0,1,PB,PB,Y,103,1.0,1.0,N,1,650.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,11.0,4.0,11.0,,580.0,580.0
20075,1,25,presencial,1,F,27,6,3,0,1,CE,AP,N, ,5.0,19.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,AP,Y,123,0,9.0,2.0,0.0,0.0,689.0,689.0
20076,1,10,internet,1,M,47,1,1,0,1,RS,RS,Y,54,1.0,3.0,N,1,1140.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,1.0,,,932.0,932.0
20077,2,5,internet,1,F,29,1,1,0,1,BA,BA,Y,84,1.0,10.0,N,1,420.0,0.0,1,0,0,0,0,0,0,0.0,0,Y,BA,Y,84,0,9.0,5.0,,,455.0,455.0
20078,1,10,internet,1,F,71,2,0,0,1,AC,PA,N, ,1.0,18.0,N,1,246.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,1.0,,,661.0,661.0
20079,1,25,internet,1,F,30,2,0,0,1,RS,RS,Y,54,,,N,1,1075.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,,,7.0,1.0,908.0,908.0
20080,1,10,internet,1,F,41,2,3,0,1,CE,CE,Y,107,1.0,1.0,N,1,2350.0,0.0,1,1,0,0,0,0,0,0.0,0,Y,CE,Y,107,0,9.0,2.0,,,604.0,604.0
20081,1,20,internet,1,M,22,1,0,0,1,BA,BA,Y,86,5.0,11.0,N,1,310.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,BA,N, ,0,9.0,2.0,,,486.0,486.0
20082,1,20,presencial,1,F,42,2,0,0,0, ,CE,Y,107,1.0,5.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,4.0,11.0,0.0,605.0,605.0
20083,1,15,presencial,1,M,38,1,0,0,1,SP,SP,Y,9,1.0,2.0,N,1,900.0,0.0,0,0,0,0,0,1,1,0.0,0,Y, ,N, ,0,2.0,4.0,,,122.0,122.0
20084,1,10,internet,1,F,35,2,0,0,1,RJ,RJ,N, ,1.0,20.0,N,1,291.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,286.0,286.0
20085,1,15,correio,1,M,25,1,4,0,1,MA,MA,Y,125,2.0,1.0,N,1,472.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,2.0,11.0,,656.0,656.0
20086,1,10,internet,1,F,34,2,3,0,1,RJ,CE,Y,107,2.0,5.0,N,1,200.0,200.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,607.0,607.0
20087,1,10,internet,1,M,66,2,0,0,1,RS,RS,N, ,1.0,32.0,N,1,276.09,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,1.0,,,964.0,964.0
20088,1,5,internet,1,M,26,1,0,0,1,BA,BA,Y,84,,3.0,N,1,700.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,5.0,,,456.0,456.0
20089,1,10,internet,1,F,44,1,0,0,1,PA,PA,Y,117,1.0,5.0,N,1,204.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,660.0,660.0
20090,1,10,presencial,1,F,44,2,0,0,1,SC,SC,Y,50,1.0,14.0,N,1,600.0,665.0,0,0,0,0,0,1,1,80000.0,1,Y, ,N, ,0,9.0,4.0,0.0,0.0,881.0,881.0
20091,1,10,internet,1,F,69,2,1,0,1,PE,PE,Y,97,1.0,22.0,N,1,382.0,0.0,0,0,0,0,0,0,0,35000.0,0,N, ,N, ,0,,1.0,,,547.0,547.0
20092,2,20,presencial,1,F,31,1,1,0,1,BA,BA,Y,84,1.0,20.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,2.0,0.0,0.0,454.0,454.0
20093,1,10,internet,1,F,46,1,0,0,1,RN,RN,Y,105,1.0,1.0,N,1,841.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,,,,,596.0,596.0
20094,1,10,internet,1,M,70,2,0,0,1,SC,RS,Y,54,1.0,1.0,N,1,351.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,1.0,,,948.0,948.0
20095,1,25,internet,1,F,35,6,2,0,1,AP,AL,Y,100,1.0,1.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,AL,Y,100,0,7.0,2.0,11.0,,570.0,570.0
20096,1,10,internet,1,M,40,2,0,0,1,RN,RN,Y,105,1.0,2.0,N,1,625.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,596.0,596.0
20097,1,10,presencial,1,F,64,2,0,0,1,RS,RS,Y,58,1.0,30.0,N,0,351.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,11.0,1.0,0.0,0.0,960.0,960.0
20098,1,25,presencial,1,F,46,3,0,0,1,MA,CE,Y,107,1.0,30.0,N,0,700.0,0.0,1,1,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,4.0,0.0,0.0,607.0,607.0
20099,2,10,internet,1,M,40,2,0,0,1,SP,SP,N, ,1.0,2.0,N,1,848.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,2.0,,,173.0,173.0
20100,1,15,internet,1,M,68,2,0,0,1,CE,CE,N, ,1.0,50.0,N,1,1155.99,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,13.0,1.0,9.0,2.0,600.0,600.0
20101,1,5,internet,1,F,59,4,0,0,1,MA,PA,Y,120,1.0,8.0,N,1,763.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,684.0,684.0
20102,1,10,internet,2,F,21,2,0,0,1,SP,SP,Y,5,2.0,1.0,N,1,600.0,0.0,0,0,0,0,0,0,0,0.0,0,N,SP,N, ,0,,,,,350.0,350.0
20103,1,10,presencial,1,F,29,1,0,0,1,MG,MG,Y,29,1.0,10.0,N,0,495.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MG,N, ,0,9.0,2.0,0.0,0.0,357.0,357.0
20104,1,15,presencial,1,F,60,2,1,0,1,AL,SP,N, ,1.0,28.0,N,0,700.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,2.0,4.0,0.0,0.0,811.0,811.0
20105,1,10,internet,1,M,24,1,0,0,1,RS,RS,Y,58,1.0,,N,1,750.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,964.0,964.0
20106,1,25,presencial,1,F,50,2,0,0,1,PE,PE,Y,97,1.0,1.0,N,0,200.0,0.0,1,1,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,4.0,0.0,0.0,513.0,513.0
20107,1,10,internet,1,F,21,1,0,0,1,SP,SP,Y,5,1.0,8.0,N,1,580.0,0.0,1,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,2.0,,,666.0,666.0
20108,1,5,presencial,1,F,66,4,0,0,1,CE,CE,Y,107,1.0,35.0,N,1,400.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,604.0,604.0
20109,1,25,internet,1,F,18,1,0,0,1,CE,CE,Y,107,1.0,3.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,619.0,619.0
20110,1,10,internet,1,F,77,2,0,0,1,PA,PA,Y,117,1.0,50.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,1.0,,,660.0,660.0
20111,1,10,presencial,1,M,39,2,0,0,1,AL,SP,Y,16,4.0,2.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,Y,16,0,9.0,2.0,0.0,0.0,153.0,153.0
20112,1,20,internet,1,M,52,4,0,0,1,AL,SP,Y,5,1.0,20.0,N,1,420.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,828.0,828.0
20113,1,10,presencial,1,M,23,2,1,0,1,PR,PR,Y,41,5.0,1.0,N,0,949.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PR,N, ,0,10.0,2.0,0.0,0.0,844.0,844.0
20114,1,10,presencial,1,M,39,2,0,0,1,PR,MT,N, ,1.0,18.0,N,0,525.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MT,Y,71,0,9.0,2.0,9.0,2.0,782.0,782.0
20115,1,25,presencial,1,F,29,1,0,0,1,RS,RS,Y,54,1.0,2.0,N,0,823.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,Y,54,0,9.0,2.0,0.0,0.0,956.0,956.0
20116,1,15,presencial,1,M,33,2,1,0,1,RS,RS,Y,54,1.0,2.0,N,1,800.0,0.0,0,0,0,0,0,0,0,0.0,1,Y,RS,Y,54,0,9.0,0.0,0.0,0.0,915.0,915.0
20117,1,15,internet,1,M,27,2,0,0,1,BA,BA,Y,86,1.0,5.0,N,1,700.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,BA,Y,86,0,9.0,5.0,,,486.0,486.0
20118,2,25,presencial,1,M,36,2,0,0,1,BA,SP,Y,5,1.0,5.0,N,1,900.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,2.0,0.0,0.0,716.0,716.0
20119,1,5,presencial,1,M,44,2,2,0,1,DF,DF,Y,66,1.0,3.0,N,0,681.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,Y,66,0,9.0,2.0,0.0,0.0,726.0,726.0
20120,1,10,internet,1,M,52,2,1,0,1,AL,AL,Y,100,1.0,25.0,N,1,2000.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,5.0,2.0,4.0,570.0,570.0
20121,1,10,presencial,1,M,21,1,0,0,1,CE,CE,Y,112,1.0,1.0,N,1,374.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,CE,Y,112,0,9.0,,,,621.0,621.0
20122,1,25,internet,1,M,56,2,0,0,1,BA,BA,N, ,5.0,2.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,484.0,484.0
20123,1,10,internet,1,F,47,5,0,0,1,SP,SP,Y,5,1.0,40.0,N,1,300.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,Y,5,0,9.0,5.0,,,222.0,222.0
20124,1,25,internet,1,F,37,1,0,0,1,AL,SP,Y,5,1.0,10.0,N,1,587.4,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,N, ,0,9.0,2.0,,,129.0,129.0
