id_solicitante,produto_solicitado,dia_vencimento,sexo,idade,estado_civil,possui_telefone_residencial,meses_na_residencia,valor_patrimonio_pessoal_norm,profissao,ocupacao,inadimplente,idade_bin,renda_total_norm,estado_onde_nasceu,estado_onde_reside,regiao_onde_reside,regiao_onde_nasceu,origem
42,1,20,M,50,2,Y,0.0,-0.051989890358970794,9.0,2.0,0.0,"(40, 50]",-0.04828969097488088, ,BA,Nordeste,Sem estado,treino
43,7,5,M,33,2,N,5.0,-0.051989890358970794,,,1.0,"(30, 40]",-0.054863691856877214,RN,RN,Nordeste,Nordeste,treino
44,1,25,F,51,2,Y,5.0,-0.051989890358970794,9.0,4.0,1.0,"(50, 60]",-0.04667000959815715,PA,PA,Norte,Norte,treino
45,1,25,M,64,2,Y,30.0,0.7020686815888327,9.0,4.0,1.0,"(60, 70]",0.0028731854545688026,PE,PE,Nordeste,Nordeste,treino
46,1,10,M,29,1,Y,12.0,-0.051989890358970794,9.0,5.0,0.0,"(20, 30]",-0.05391093810586325,RS,RS,Sul,Sul,treino
47,1,5,F,54,1,N,4.0,-0.051989890358970794,2.0,5.0,1.0,"(50, 60]",-0.054292039606268834,PE,PE,Nordeste,Nordeste,treino
48,1,10,F,39,2,Y,4.0,-0.051989890358970794,,,0.0,"(30, 40]",-0.006654352055570804,SC,SC,Sul,Sul,treino
49,1,20,F,25,1,Y,10.0,-0.051989890358970794,,,0.0,"(20, 30]",-0.05905580836133864,MG,MG,Sudeste,Sudeste,treino
50,1,20,F,34,2,Y,10.0,-0.051989890358970794,9.0,2.0,0.0,"(30, 40]",-0.05905580836133864,PI,PI,Nordeste,Nordeste,treino
51,1,25,F,42,2,Y,5.0,-0.051989890358970794,9.0,4.0,0.0,"(40, 50]",0.0028731854545688026,PE,RJ,Sudeste,Nordeste,treino
52,1,5,M,65,2,Y,20.0,-0.051989890358970794,9.0,1.0,0.0,"(60, 70]",-0.056197547108296754,CE,CE,Nordeste,Nordeste,treino
53,1,5,F,35,2,N,2.0,-0.051989890358970794,9.0,5.0,1.0,"(30, 40]",-0.05905580836133864,PA,AP,Norte,Norte,treino
54,1,10,M,72,1,Y,0.0,-0.051989890358970794,9.0,1.0,0.0,"(70, 80]",-0.056197547108296754,BA,BA,Nordeste,Nordeste,treino
55,1,20,F,83,1,N,2.0,-0.051989890358970794,,,1.0,"(80, 90]",-0.05905580836133864,MA,MA,Nordeste,Nordeste,treino
56,1,10,F,48,3,Y,,-0.051989890358970794,,,1.0,"(40, 50]",0.2912717458864947,MG,MG,Sudeste,Sudeste,treino
57,7,25,F,25,2,Y,10.0,-0.051989890358970794,2.0,4.0,1.0,"(20, 30]",0.38397468586015304,PE,PE,Nordeste,Nordeste,treino
58,1,5,F,61,4,Y,10.0,-0.051989890358970794,9.0,1.0,0.0,"(60, 70]",-0.033819267004480846,RR,RR,Norte,Norte,treino
59,1,10,F,49,4,Y,1.0,-0.051989890358970794,9.0,1.0,1.0,"(40, 50]",0.05051087300526683,PA,RO,Norte,Norte,treino
60,1,10,M,52,2,Y,1.0,-0.051989890358970794,11.0,1.0,0.0,"(50, 60]",-0.05743612698461491, ,SP,Sudeste,Sem estado,treino
61,1,20,M,25,1,Y,1.0,-0.051989890358970794,9.0,4.0,1.0,"(20, 30]",0.0028731854545688026,RS,RS,Sul,Sul,treino
62,1,5,F,52,2,N,21.0,-0.051989890358970794,2.0,4.0,1.0,"(50, 60]",-0.04476450209612923,RJ,RJ,Sudeste,Sudeste,treino
63,2,10,F,66,1,Y,2.0,-0.051989890358970794,0.0,0.0,1.0,"(60, 70]",-0.05905580836133864,SP,BA,Nordeste,Sudeste,treino
64,1,15,F,35,2,Y,20.0,-0.051989890358970794,9.0,2.0,0.0,"(30, 40]",-0.06858334587147824,PE,SP,Sudeste,Nordeste,treino
65,1,15,F,29,2,Y,2.0,-0.051989890358970794,9.0,,1.0,"(20, 30]",-0.05905580836133864,PE,SP,Sudeste,Nordeste,treino
66,1,10,M,45,2,N,0.0,-0.051989890358970794,9.0,2.0,1.0,"(40, 50]",-0.04000073334105943,MG,MG,Sudeste,Sudeste,treino
67,1,25,M,54,2,N,10.0,-0.051989890358970794,2.0,5.0,0.0,"(50, 60]",-0.049528270851199034,RS,RS,Sul,Sul,treino
68,1,15,F,38,2,N,1.0,-0.051989890358970794,2.0,4.0,0.0,"(30, 40]",-0.0032244385519205453,PE,PE,Nordeste,Nordeste,treino
69,1,10,M,75,2,Y,5.0,-0.051989890358970794,9.0,1.0,1.0,"(70, 80]",-0.04476450209612923,MT,MT,Centro-Oeste,Centro-Oeste,treino
70,1,20,F,59,4,Y,30.0,0.5763922529308655,9.0,1.0,1.0,"(50, 60]",0.10100682180900675,AL,AL,Nordeste,Nordeste,treino
71,1,10,M,38,2,N,6.0,-0.051989890358970794,9.0,2.0,1.0,"(30, 40]",-0.05553061948258698,CE,CE,Nordeste,Nordeste,treino
72,1,5,F,44,4,N,5.0,-0.051989890358970794,9.0,5.0,0.0,"(40, 50]",-0.045145603596534814,PI,PI,Nordeste,Nordeste,treino
73,1,15,F,29,2,Y,4.0,-0.051989890358970794,9.0,5.0,0.0,"(20, 30]",-0.05200543060383533,AL,AL,Nordeste,Nordeste,treino
74,1,5,F,56,2,N,10.0,-0.051989890358970794,9.0,4.0,0.0,"(50, 60]",-0.03990545796595803,CE,CE,Nordeste,Nordeste,treino
75,1,5,M,28,1,Y,8.0,-0.051989890358970794,9.0,2.0,0.0,"(20, 30]",-0.05905580836133864,CE,CE,Nordeste,Nordeste,treino
76,1,25,F,41,2,Y,8.0,-0.051989890358970794,2.0,4.0,0.0,"(40, 50]",-0.05905580836133864,MT,MT,Centro-Oeste,Centro-Oeste,treino
77,1,10,F,65,6,Y,30.0,-0.051989890358970794,2.0,4.0,0.0,"(60, 70]",-0.054292039606268834,RS,RS,Sul,Sul,treino
78,1,10,M,25,1,Y,5.0,-0.051989890358970794,11.0,,0.0,"(20, 30]",0.06956594802554604,SP,SP,Sudeste,Sudeste,treino
79,7,10,M,48,1,N,13.0,-0.051989890358970794,9.0,4.0,1.0,"(40, 50]",-0.049051893975692054,BA,MS,Centro-Oeste,Nordeste,treino
80,1,1,F,30,1,Y,5.0,-0.051989890358970794,9.0,3.0,0.0,"(20, 30]",-0.05905580836133864,BA,BA,Nordeste,Nordeste,treino
81,1,10,M,48,2,Y,8.0,-0.051989890358970794,9.0,1.0,0.0,"(40, 50]",0.007636954209638606,RS,RS,Sul,Sul,treino
82,1,15,M,40,5,Y,0.0,-0.051989890358970794,9.0,2.0,0.0,"(30, 40]",-0.03942908109045105, ,RS,Sul,Sem estado,treino
83,1,1,F,34,1,Y,0.0,-0.051989890358970794,9.0,5.0,0.0,"(30, 40]",-0.05905580836133864,RN,RN,Nordeste,Nordeste,treino
84,2,20,M,41,2,Y,20.0,2.9642443974322434,9.0,2.0,0.0,"(40, 50]",-0.037904675088828714,SC,SC,Sul,Sul,treino
85,1,15,F,25,2,Y,27.0,-0.051989890358970794,9.0,2.0,1.0,"(20, 30]",-0.05695975010910793,PE,PE,Nordeste,Nordeste,treino
86,1,25,M,36,2,N,3.0,-0.051989890358970794,9.0,5.0,1.0,"(30, 40]",-0.018182672442839727,RJ,RJ,Sudeste,Sudeste,treino
87,1,10,F,30,2,N,25.0,1.2047743962207018,9.0,2.0,1.0,"(20, 30]",-0.04476450209612923,PR,SP,Sudeste,Sul,treino
88,1,15,F,43,5,N,10.0,-0.051989890358970794,9.0,2.0,1.0,"(40, 50]",-0.045526705096940394,CE,CE,Nordeste,Nordeste,treino
89,1,20,F,22,6,Y,20.0,-0.051989890358970794,,4.0,0.0,"(20, 30]",-0.05905580836133864,CE,CE,Nordeste,Nordeste,treino
90,1,10,F,32,1,Y,5.0,-0.051989890358970794,9.0,4.0,0.0,"(30, 40]",-0.0037008154274275258,RN,RN,Nordeste,Nordeste,treino
91,1,20,F,26,1,Y,8.0,-0.051989890358970794,,,1.0,"(20, 30]",-0.05905580836133864,PA,PA,Norte,Norte,treino
92,1,25,F,36,2,Y,19.0,-0.051989890358970794,9.0,4.0,0.0,"(30, 40]",-0.07334711462654804, ,PB,Nordeste,Sem estado,treino
93,1,10,M,40,1,Y,11.0,-0.051989890358970794,9.0,2.0,1.0,"(30, 40]",-0.048480241725083674,PA,PA,Norte,Norte,treino
94,1,15,M,18,1,Y,,-0.051989890358970794,,,1.0,"(10, 20]",-0.056197547108296754,SP,SP,Sudeste,Sudeste,treino
95,1,1,M,54,6,N,10.0,-0.051989890358970794,9.0,5.0,0.0,"(50, 60]",-0.05610227173319536,PE,PE,Nordeste,Nordeste,treino
96,1,10,F,68,4,N,9.0,-0.051989890358970794,9.0,1.0,1.0,"(60, 70]",-0.05905580836133864,PI,PA,Norte,Nordeste,treino
97,1,20,M,54,2,Y,18.0,-0.051989890358970794,9.0,1.0,0.0,"(50, 60]",-0.024756673324836054,BA,BA,Nordeste,Nordeste,treino
98,1,15,F,24,2,Y,7.0,-0.051989890358970794,,,1.0,"(20, 30]",-0.054292039606268834,CE,CE,Nordeste,Nordeste,treino
99,1,10,M,59,2,Y,23.0,-0.051989890358970794,8.0,1.0,0.0,"(50, 60]",0.11701308482604128,RS,RS,Sul,Sul,treino
100,7,15,F,73,4,Y,20.0,-0.051989890358970794,9.0,1.0,1.0,"(70, 80]",-0.058103054610324674,RS,RS,Sul,Sul,treino
101,1,5,F,22,1,Y,,-0.051989890358970794,,,1.0,"(20, 30]",-0.03523696458598962,PR,PR,Sul,Sul,treino
102,1,10,F,35,2,Y,27.0,-0.051989890358970794,9.0,4.0,1.0,"(30, 40]",-0.04476450209612923,BA,BA,Nordeste,Nordeste,treino
103,1,15,M,58,1,N,8.0,1.0790979675627346,9.0,1.0,1.0,"(50, 60]",-0.056197547108296754,BA,MT,Centro-Oeste,Nordeste,treino
104,1,15,M,45,2,Y,3.0,-0.051989890358970794,,,0.0,"(40, 50]",-0.045239926217885196,SC,PR,Sul,Sul,treino
105,1,25,F,53,2,Y,2.0,-0.051989890358970794,,,1.0,"(50, 60]",-0.03628499371210498,PE,SP,Sudeste,Nordeste,treino
106,2,5,F,65,1,Y,10.0,-0.051989890358970794,9.0,2.0,1.0,"(60, 70]",-0.049528270851199034,MG,MG,Sudeste,Sudeste,treino
107,1,15,F,39,2,N,5.0,0.7020686815888327,9.0,2.0,1.0,"(30, 40]",0.036425361550276425,BA,BA,Nordeste,Nordeste,treino
108,1,25,F,19,1,Y,10.0,-0.051989890358970794,8.0,3.0,0.0,"(10, 20]",-0.05905580836133864,PA,AM,Norte,Norte,treino
109,1,15,M,39,2,N,,-0.051989890358970794,9.0,2.0,1.0,"(30, 40]",-0.0072260043061791795,AM,PE,Nordeste,Norte,treino
110,1,10,F,69,1,Y,5.0,-0.051989890358970794,9.0,1.0,0.0,"(60, 70]",-0.05905580836133864,RN,RN,Nordeste,Nordeste,treino
111,1,20,F,27,6,N,6.0,-0.051989890358970794,,,1.0,"(20, 30]",-0.056197547108296754,MA,PA,Norte,Nordeste,treino
112,2,1,M,41,2,Y,8.0,1.2047743962207018,17.0,2.0,1.0,"(40, 50]",0.10538948906367096,BA,BA,Nordeste,Nordeste,treino
113,1,15,M,38,2,N,,-0.051989890358970794,9.0,2.0,1.0,"(30, 40]",-0.04000073334105943,RN,RN,Nordeste,Nordeste,treino
114,1,15,F,35,2,N,8.0,-0.051989890358970794,10.0,2.0,1.0,"(30, 40]",-0.02771211546048136,CE,CE,Nordeste,Nordeste,treino
115,1,15,F,30,1,Y,1.0,-0.051989890358970794,11.0,4.0,1.0,"(20, 30]",-0.051433778353226954,BA,BA,Nordeste,Nordeste,treino
116,1,25,M,54,2,Y,13.0,-0.051989890358970794,9.0,2.0,0.0,"(50, 60]",0.10319815543633885,MA,DF,Centro-Oeste,Nordeste,treino
117,1,10,F,69,3,Y,0.0,-0.051989890358970794,0.0,0.0,1.0,"(60, 70]",-0.04667000959815715,MG,MG,Sudeste,Sudeste,treino
118,1,15,M,79,4,N,0.0,-0.051989890358970794,0.0,0.0,1.0,"(70, 80]",-0.05905580836133864,CE,CE,Nordeste,Nordeste,treino
119,1,10,M,46,2,Y,0.0,-0.051989890358970794,11.0,5.0,0.0,"(40, 50]",-0.025518876325647224, ,SP,Sudeste,Sem estado,treino
120,1,10,M,45,0,Y,0.0,-0.051989890358970794,9.0,2.0,0.0,"(40, 50]",-0.042763719218999914, ,BA,Nordeste,Sem estado,treino
121,1,15,M,43,2,Y,5.0,-0.051989890358970794,,,0.0,"(40, 50]",0.021928260474848017,MG,MG,Sudeste,Sudeste,treino
122,1,10,M,52,2,N,,0.9534215389047672,,1.0,1.0,"(50, 60]",0.12840897244191923,RN,RN,Nordeste,Nordeste,treino
123,1,25,F,49,1,Y,1.0,-0.051989890358970794,9.0,2.0,1.0,"(40, 50]",-0.026116252927532977,MA,MA,Nordeste,Nordeste,treino
124,2,10,M,22,2,Y,10.0,-0.051989890358970794,9.0,2.0,1.0,"(20, 30]",-0.054292039606268834,CE,CE,Nordeste,Nordeste,treino
125,1,5,F,46,4,Y,1.0,-0.051989890358970794,11.0,5.0,0.0,"(40, 50]",-0.06343847561600285,PE,PE,Nordeste,Nordeste,treino
126,1,10,M,31,1,Y,4.0,-0.051989890358970794,9.0,2.0,1.0,"(30, 40]",0.19894990741324187,AL,SP,Sudeste,Nordeste,treino
127,1,25,F,41,1,Y,41.0,-0.051989890358970794,,,1.0,"(40, 50]",-0.005518669584362167,AM,AM,Norte,Norte,treino
128,1,20,F,53,2,Y,11.0,-0.051989890358970794,,,1.0,"(50, 60]",-0.06877389662168104,BA,BA,Nordeste,Nordeste,treino
129,2,5,F,80,4,Y,15.0,-0.051989890358970794,9.0,1.0,1.0,"(70, 80]",-0.059627460611947014,CE,CE,Nordeste,Nordeste,treino
130,1,15,F,58,1,N,30.0,-0.051989890358970794,9.0,4.0,0.0,"(50, 60]",-0.04667000959815715,RN,RN,Nordeste,Nordeste,treino
131,1,1,M,55,1,Y,1.0,-0.051989890358970794,,4.0,0.0,"(50, 60]",-0.054292039606268834,PE,PE,Nordeste,Nordeste,treino
132,1,20,F,52,2,Y,2.0,-0.051989890358970794,,,0.0,"(50, 60]",0.05051087300526683,RN,RN,Nordeste,Nordeste,treino
133,1,10,F,70,4,N,20.0,-0.051989890358970794,9.0,5.0,1.0,"(60, 70]",-0.06753531674536288,PE,PE,Nordeste,Nordeste,treino
134,2,10,F,51,4,Y,0.0,-0.051989890358970794,9.0,5.0,1.0,"(50, 60]",-0.054292039606268834,CE,CE,Nordeste,Nordeste,treino
135,1,10,F,44,2,Y,20.0,-0.051989890358970794,0.0,0.0,0.0,"(40, 50]",-0.03523696458598962,RJ,RJ,Sudeste,Sudeste,treino
136,1,10,M,66,0,Y,0.0,-0.051989890358970794,9.0,2.0,0.0,"(60, 70]",0.01621173796876425, ,BA,Nordeste,Sem estado,treino
137,1,5,F,32,2,Y,3.0,-0.051989890358970794,9.0,2.0,0.0,"(30, 40]",-0.05886525761113585,PE,PE,Nordeste,Nordeste,treino
138,1,10,M,46,2,Y,0.0,2.4615386828003745,9.0,2.0,0.0,"(40, 50]",0.021928260474848017,ES,RO,Norte,Sudeste,treino
139,1,10,M,48,2,Y,13.0,-0.051989890358970794,9.0,2.0,0.0,"(40, 50]",0.04365104599796632,DF,DF,Centro-Oeste,Centro-Oeste,treino
140,1,10,M,47,2,N,2.0,-0.051989890358970794,9.0,2.0,0.0,"(40, 50]",0.017069216344676817,PE,PA,Norte,Nordeste,treino
141,1,10,F,55,4,Y,12.0,-0.051989890358970794,9.0,1.0,1.0,"(50, 60]",-0.056197547108296754,PA,PA,Norte,Norte,treino
142,2,20,F,34,2,Y,10.0,3.718302969380047,9.0,2.0,0.0,"(30, 40]",-0.04238261771859433,SC,SC,Sul,Sul,treino
143,1,5,M,52,2,Y,10.0,-0.051989890358970794,9.0,5.0,1.0,"(50, 60]",-0.06677311374455172,MA,PA,Norte,Nordeste,treino
144,1,20,F,30,1,Y,2.0,-0.051989890358970794,9.0,2.0,0.0,"(20, 30]",-0.06763059212046428,BA,BA,Nordeste,Nordeste,treino
145,1,10,F,41,1,Y,2.0,-0.051989890358970794,9.0,2.0,0.0,"(40, 50]",-0.015610237315102034,CE,SP,Sudeste,Nordeste,treino
146,1,15,F,35,2,Y,0.0,-0.051989890358970794,9.0,4.0,0.0,"(30, 40]",-0.06858334587147824, ,MG,Sudeste,Sem estado,treino
147,2,15,F,61,1,Y,4.0,-0.051989890358970794,9.0,1.0,1.0,"(60, 70]",-0.05905580836133864,BA,BA,Nordeste,Nordeste,treino
148,1,10,M,73,6,N,7.0,-0.051989890358970794,,1.0,1.0,"(70, 80]",-0.05743898524586794,PE,PE,Nordeste,Nordeste,treino
149,1,5,F,23,1,Y,15.0,-0.051989890358970794,9.0,4.0,0.0,"(20, 30]",-0.07334711462654804,AL,AL,Nordeste,Nordeste,treino
150,1,15,F,54,2,Y,40.0,-0.051989890358970794,9.0,1.0,0.0,"(50, 60]",-0.0017953079253996043,RN,RN,Nordeste,Nordeste,treino
151,1,15,F,39,2,Y,1.0,-0.051989890358970794,9.0,1.0,1.0,"(30, 40]",-0.05400621348096465,SP,SP,Sudeste,Sudeste,treino
152,1,10,F,95,4,N,5.0,-0.051989890358970794,9.0,1.0,1.0,"(90, 100]",-0.05905580836133864,CE,CE,Nordeste,Nordeste,treino
153,1,10,M,26,6,Y,5.0,-0.051989890358970794,2.0,4.0,0.0,"(20, 30]",-0.049528270851199034,MA,PA,Norte,Nordeste,treino
154,2,10,M,32,6,Y,10.0,-0.051989890358970794,2.0,4.0,1.0,"(30, 40]",-0.051433778353226954,BA,AP,Norte,Nordeste,treino
155,1,25,M,47,1,N,8.0,0.5763922529308655,9.0,2.0,0.0,"(40, 50]",-0.017229918691825767,AM,AM,Norte,Norte,treino
156,1,10,M,47,1,Y,1.0,-0.051989890358970794,9.0,1.0,0.0,"(40, 50]",-0.05905580836133864,BA,BA,Nordeste,Nordeste,treino
157,1,25,F,30,1,Y,18.0,-0.051989890358970794,9.0,2.0,1.0,"(20, 30]",-0.04000073334105943,BA,BA,Nordeste,Nordeste,treino
158,1,10,M,68,2,Y,20.0,-0.051989890358970794,9.0,1.0,0.0,"(60, 70]",-0.03523696458598962,RS,RS,Sul,Sul,treino
159,1,10,F,61,4,Y,26.0,-0.051989890358970794,9.0,,1.0,"(60, 70]",-0.056197547108296754,CE,CE,Nordeste,Nordeste,treino
160,1,20,M,29,2,Y,0.0,-0.051989890358970794,0.0,0.0,0.0,"(20, 30]",-0.049528270851199034,BA,BA,Nordeste,Nordeste,treino
161,2,10,F,18,1,Y,1.0,-0.051989890358970794,9.0,2.0,0.0,"(10, 20]",-0.06405776555416193,AC,MG,Sudeste,Norte,treino
162,1,10,F,21,2,N,0.0,-0.051989890358970794,9.0,2.0,1.0,"(20, 30]",-0.05410148885606604,PI,PA,Norte,Nordeste,treino
163,1,15,M,37,2,Y,5.0,-0.051989890358970794,9.0,5.0,0.0,"(30, 40]",-0.0018905833005010005,SE,SE,Nordeste,Nordeste,treino
164,1,10,M,27,1,Y,4.0,1.2047743962207018,,,1.0,"(20, 30]",-0.03047319583091982,SC,SC,Sul,Sul,treino
165,1,25,F,37,1,N,10.0,-0.051989890358970794,9.0,5.0,1.0,"(30, 40]",-0.06381957711640844,RN,RN,Nordeste,Nordeste,treino
166,2,25,F,29,6,Y,0.0,-0.051989890358970794,0.0,0.0,1.0,"(20, 30]",0.021928260474848017,SP,SP,Sudeste,Sudeste,treino
167,1,20,M,35,2,Y,2.0,-0.051989890358970794,2.0,5.0,0.0,"(30, 40]",-0.042287342343492934,AM,AM,Norte,Norte,treino
168,1,10,M,44,1,Y,15.0,-0.051989890358970794,9.0,4.0,1.0,"(40, 50]",-0.04476450209612923,PE,PE,Nordeste,Nordeste,treino
169,1,10,M,49,1,Y,20.0,-0.051989890358970794,9.0,2.0,1.0,"(40, 50]",0.02421486947728152,MS,DF,Centro-Oeste,Centro-Oeste,treino
170,1,10,F,38,2,Y,,-0.051989890358970794,11.0,1.0,0.0,"(30, 40]",-0.05610227173319536,RN,RN,Nordeste,Nordeste,treino
171,1,10,M,68,4,Y,10.0,-0.051989890358970794,9.0,1.0,0.0,"(60, 70]",-0.0381905012141329,PE,BA,Nordeste,Nordeste,treino
172,1,10,M,62,2,Y,12.0,-0.051989890358970794,9.0,2.0,0.0,"(60, 70]",-0.06019911286255539,RS,RS,Sul,Sul,treino
173,1,10,M,47,2,N,9.0,-0.051989890358970794,9.0,2.0,0.0,"(40, 50]",0.13178076796675767,MG,MG,Sudeste,Sudeste,treino
174,1,25,F,32,2,Y,1.0,-0.051989890358970794,2.0,4.0,0.0,"(30, 40]",-0.07334711462654804,PB,PB,Nordeste,Nordeste,treino
175,1,10,F,19,1,N,2.0,-0.051989890358970794,9.0,2.0,0.0,"(10, 20]",-0.03418893545987427,CE,PA,Norte,Nordeste,treino
176,1,10,M,54,2,Y,0.0,-0.051989890358970794,11.0,2.0,1.0,"(50, 60]",0.05336913425830871, ,PA,Norte,Sem estado,treino
