id_solicitante,produto_solicitado,dia_vencimento,forma_envio_solicitacao,tipo_endereco,sexo,idade,estado_civil,qtde_dependentes,grau_instrucao,nacionalidade,estado_onde_nasceu,estado_onde_reside,possui_telefone_residencial,codigo_area_telefone_residencial,tipo_residencia,meses_na_residencia,possui_telefone_celular,possui_email,renda_mensal_regular,renda_extra,possui_cartao_visa,possui_cartao_mastercard,possui_cartao_diners,possui_cartao_amex,possui_outros_cartoes,qtde_contas_bancarias,qtde_contas_bancarias_especiais,valor_patrimonio_pessoal,possui_carro,vinculo_formal_com_empresa,estado_onde_trabalha,possui_telefone_trabalho,codigo_area_telefone_trabalho,meses_no_trabalho,profissao,ocupacao,profissao_companheiro,grau_instrucao_companheiro,local_onde_reside,local_onde_trabalha,inadimplente
18,1,15,presencial,1,F,54,2,0,0,1,SP,SP,N, ,1.0,7.0,N,0,800.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,5.0,0.0,0.0,933.0,933.0,1
19,1,25,internet,1,F,30,6,1,0,1,RS,RS,Y,54,1.0,8.0,N,1,450.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RS,Y,54,0,9.0,2.0,,,935.0,935.0,1
20,1,5,internet,1,M,39,2,1,0,1,PE,PE,Y,97,1.0,1.0,N,1,1000.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,PE,Y,97,0,7.0,5.0,16.0,4.0,531.0,531.0,0
21,1,10,presencial,1,F,19,1,1,0,0, ,PR,Y,40,2.0,0.0,N,1,410.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PR,Y,40,0,11.0,2.0,11.0,0.0,828.0,828.0,1
22,2,20,internet,1,F,45,1,0,0,1,CE,CE,N, ,1.0,,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,2.0,,,629.0,629.0,0
23,1,25,internet,1,F,32,7,2,0,1,SP,SP,Y,5,1.0,32.0,N,1,653.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,254.0,254.0,1
24,7,10,presencial,1,F,28,6,0,0,1,SP,SP,Y,9,1.0,15.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,123.0,123.0,1
25,1,25,internet,1,F,47,2,0,0,1,PE,PE,Y,97,1.0,12.0,N,1,900.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,9.0,3.0,558.0,558.0,1
26,1,10,internet,1,M,36,2,0,0,1,BA,SP,Y,14,,,N,1,900.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,146.0,146.0,0
27,1,5,presencial,1,F,56,1,0,0,1,AC,RS,N, ,1.0,1.0,N,1,800.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,11.0,4.0,11.0,,960.0,960.0,0
28,2,5,internet,1,F,50,4,2,0,1,SP,SP,N, ,1.0,5.0,N,1,1911.42,0.0,0,0,0,0,0,0,0,50000.0,0,N, ,N, ,0,11.0,1.0,,,189.0,189.0,0
29,1,25,internet,1,M,54,2,0,0,1,BA,BA,Y,84,1.0,8.0,N,1,1200.0,0.0,0,1,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,452.0,452.0,1
30,1,15,internet,1,F,31,1,0,0,1,PE,PB,Y,103,5.0,4.0,N,1,250.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,580.0,580.0,1
31,1,10,presencial,1,M,38,2,0,0,1,MA,MA,N, ,1.0,15.0,N,1,400.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,2.0,0.0,0.0,650.0,650.0,1
32,1,15,correio,1,F,53,1,0,0,1,RS,RS,Y,54,1.0,1.0,N,1,1339.0,0.0,0,0,0,0,0,1,1,0.0,0,Y,RS,N, ,0,11.0,5.0,11.0,,917.0,917.0,0
33,2,10,presencial,1,M,60,2,2,0,1,BA,BA,Y,81,1.0,1.0,N,1,1200.0,0.0,1,1,0,0,0,1,1,0.0,0,Y,BA,Y,81,0,9.0,5.0,,,417.0,417.0,1
34,1,15,internet,1,M,35,2,0,0,1,MG,RJ,Y,20,1.0,12.0,N,1,598.0,0.0,1,1,0,0,0,1,1,0.0,1,Y,RJ,Y,20,0,9.0,2.0,,,230.0,230.0,1
35,2,1,internet,1,F,36,2,0,0,1,CE,CE,Y,112,1.0,10.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,5.0,,,630.0,630.0,1
36,1,10,internet,1,F,57,1,0,0,1,PE,SE,Y,91,1.0,15.0,N,1,800.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,490.0,490.0,0
37,1,10,internet,1,M,42,2,2,0,1,CE,CE,Y,107,1.0,8.0,N,1,350.0,0.0,1,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,4.0,,,608.0,608.0,1
38,1,10,presencial,1,F,57,4,0,0,1,MT,MT,N, ,1.0,15.0,N,1,421.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,,,,,780.0,780.0,0
39,1,25,internet,1,F,43,5,0,0,1,PE,PE,Y,97,1.0,20.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,550.0,550.0,0
40,1,10,internet,1,F,32,2,0,0,1,BA,PE,Y,111,1.0,23.0,N,1,389.0,0.0,0,0,0,0,0,0,0,30000.0,0,Y,PB,N, ,0,12.0,2.0,,,563.0,563.0,1
41,1,25,internet,1,F,49,2,2,0,1,BA,BA,Y,81,1.0,3.0,N,1,800.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,413.0,413.0,1
42,1,20,presencial,1,M,50,2,1,0,0, ,BA,Y,81,1.0,0.0,N,1,463.0,0.0,0,1,0,0,0,1,1,0.0,1,Y,BA,Y,81,0,9.0,2.0,11.0,0.0,412.0,412.0,0
43,7,5,internet,1,M,33,2,1,0,1,RN,RN,N, ,1.0,5.0,N,1,394.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,9.0,4.0,596.0,596.0,1
44,1,25,internet,1,F,51,2,0,0,1,PA,PA,Y,117,1.0,5.0,N,1,480.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,660.0,660.0,1
45,1,25,internet,1,M,64,2,0,0,1,PE,PE,Y,97,1.0,30.0,N,1,1000.0,0.0,1,1,0,1,0,0,0,30000.0,0,N, ,N, ,0,9.0,4.0,,,547.0,547.0,1
46,1,10,presencial,1,M,29,1,1,0,1,RS,RS,Y,58,1.0,12.0,N,1,404.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RS,Y,58,0,9.0,5.0,,,961.0,961.0,0
47,1,5,internet,1,F,54,1,7,0,1,PE,PE,N, ,1.0,4.0,N,1,400.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,5.0,,,550.0,550.0,1
48,1,10,internet,1,F,39,2,1,0,1,SC,SC,Y,48,2.0,4.0,N,1,600.0,300.0,1,1,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,888.0,888.0,0
49,1,20,internet,1,F,25,1,0,0,1,MG,MG,Y,29,1.0,10.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,357.0,357.0,0
50,1,20,internet,1,F,34,2,0,0,1,PI,PI,Y,114,5.0,10.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,2.0,,,648.0,648.0,0
51,1,25,internet,1,F,42,2,0,0,1,PE,RJ,Y,20,1.0,5.0,N,1,1000.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,217.0,217.0,0
52,1,5,internet,1,M,65,2,5,0,1,CE,CE,Y,107,1.0,20.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,603.0,603.0,0
53,1,5,presencial,1,F,35,2,6,0,1,PA,AP,N, ,1.0,2.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,0,N, ,N, ,0,9.0,5.0,,,689.0,689.0,1
54,1,10,internet,1,M,72,1,0,0,1,BA,BA,Y,84,2.0,0.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,456.0,456.0,0
55,1,20,internet,1,F,83,1,0,0,1,MA,MA,N, ,1.0,2.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,655.0,655.0,1
56,1,10,internet,1,F,48,3,0,0,1,MG,MG,Y,32,1.0,,N,1,4027.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,384.0,384.0,1
57,7,25,internet,1,F,25,2,0,0,1,PE,PE,Y,97,1.0,10.0,N,1,5000.0,0.0,0,1,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,550.0,550.0,1
58,1,5,internet,1,F,61,4,0,0,1,RR,RR,Y,122,1.0,10.0,N,1,272.0,342.88,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,1.0,,,693.0,693.0,0
59,1,10,internet,1,F,49,4,1,0,1,PA,RO,Y,77,1.0,1.0,N,1,1500.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,789.0,789.0,1
60,1,10,presencial,1,M,52,2,1,0,0, ,SP,Y,5,1.0,1.0,N,1,367.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,N, ,0,11.0,1.0,11.0,0.0,815.0,815.0,0
61,1,20,presencial,1,M,25,1,0,0,1,RS,RS,Y,54,1.0,1.0,N,1,1000.0,0.0,0,0,0,0,0,1,1,0.0,0,N, ,Y,54,0,9.0,4.0,,,930.0,930.0,1
62,1,5,internet,1,F,52,2,0,0,1,RJ,RJ,N, ,1.0,21.0,N,1,500.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,261.0,261.0,1
63,2,10,presencial,1,F,66,1,0,0,1,SP,BA,Y,84,1.0,2.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,457.0,457.0,1
64,1,15,internet,1,F,35,2,2,0,1,PE,SP,Y,5,1.0,20.0,N,1,250.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,Y,5,0,9.0,2.0,,,520.0,520.0,0
65,1,15,internet,1,F,29,2,0,0,1,PE,SP,Y,5,1.0,2.0,N,1,350.0,0.0,1,1,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,,,,678.0,678.0,1
66,1,10,presencial,1,M,45,2,0,0,1,MG,MG,N, ,3.0,0.0,N,0,550.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MG,N, ,0,9.0,2.0,9.0,4.0,379.0,379.0,1
67,1,25,internet,1,M,54,2,0,0,1,RS,RS,N, ,1.0,10.0,N,1,450.0,0.0,1,1,0,0,0,0,0,0.0,0,Y,RS,Y,54,0,2.0,5.0,,,931.0,931.0,0
68,1,15,internet,1,F,38,2,0,0,1,PE,PE,N, ,1.0,1.0,N,1,936.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,550.0,550.0,0
69,1,10,presencial,1,M,75,2,0,0,1,MT,MT,Y,71,1.0,5.0,N,0,500.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,780.0,780.0,1
70,1,20,presencial,1,F,59,4,0,0,1,AL,AL,Y,100,1.0,30.0,N,0,708.0,1322.0,1,1,0,0,0,1,1,25000.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,578.0,578.0,1
71,1,10,presencial,1,M,38,2,3,0,1,CE,CE,N, ,1.0,6.0,N,0,287.0,100.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,2.0,9.0,4.0,621.0,621.0,1
72,1,5,presencial,1,F,44,4,0,0,1,PI,PI,N, ,1.0,5.0,N,1,496.0,0.0,1,0,0,0,0,1,1,0.0,1,Y,PI,Y,110,0,9.0,5.0,0.0,0.0,640.0,640.0,0
73,1,15,presencial,1,F,29,2,0,0,1,AL,AL,Y,100,1.0,4.0,N,0,424.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,5.0,0.0,0.0,570.0,570.0,0
74,1,5,internet,1,F,56,2,1,0,1,CE,CE,N, ,1.0,10.0,N,1,551.0,0.0,1,1,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,618.0,618.0,0
75,1,5,presencial,1,M,28,1,0,0,1,CE,CE,Y,107,1.0,8.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,CE,Y,107,0,9.0,2.0,0.0,0.0,618.0,618.0,0
76,1,25,internet,1,F,41,2,0,0,1,MT,MT,Y,71,1.0,8.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,781.0,781.0,0
77,1,10,internet,1,F,65,6,0,0,1,RS,RS,Y,58,1.0,30.0,N,1,400.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,962.0,962.0,0
78,1,10,internet,1,M,25,1,0,0,1,SP,SP,Y,5,1.0,5.0,N,1,1700.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,11.0,,,,129.0,129.0,0
79,7,10,internet,1,M,48,1,0,0,1,BA,MS,N, ,1.0,13.0,N,1,455.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,795.0,795.0,1
80,1,1,internet,1,F,30,1,0,0,1,BA,BA,Y,85,1.0,5.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,3.0,,,473.0,473.0,0
81,1,10,presencial,1,M,48,2,0,0,1,RS,RS,Y,58,1.0,8.0,N,0,1050.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,960.0,960.0,0
82,1,15,presencial,1,M,40,5,3,0,0, ,RS,Y,54,1.0,0.0,N,1,556.0,0.0,1,1,0,0,0,0,0,0.0,1,Y,RS,Y,54,0,9.0,2.0,11.0,0.0,908.0,908.0,0
83,1,1,presencial,1,F,34,1,0,0,1,RN,RN,Y,105,1.0,0.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,5.0,0.0,0.0,591.0,591.0,0
84,2,20,presencial,1,M,41,2,2,0,1,SC,SC,Y,50,1.0,20.0,N,0,572.0,0.0,0,0,0,0,0,1,1,120000.0,1,Y, ,Y,50,0,9.0,2.0,2.0,0.0,880.0,880.0,0
85,1,15,presencial,1,F,25,2,1,0,1,PE,PE,Y,97,1.0,27.0,N,0,372.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,2.0,0.0,0.0,558.0,558.0,1
86,1,25,internet,1,M,36,2,0,0,1,RJ,RJ,N, ,1.0,3.0,N,1,779.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RO,Y,20,0,9.0,5.0,,,286.0,286.0,1
87,1,10,presencial,1,F,30,2,0,0,1,PR,SP,N, ,1.0,25.0,N,0,500.0,0.0,0,0,0,0,0,1,1,50000.0,1,Y,SP,N, ,0,9.0,2.0,0.0,4.0,130.0,130.0,1
88,1,15,internet,1,F,43,5,2,0,1,CE,CE,N, ,5.0,10.0,N,1,492.0,0.0,1,1,0,0,0,0,0,0.0,0,Y,CE,Y,107,0,9.0,2.0,,,616.0,616.0,1
89,1,20,internet,1,F,22,6,1,0,1,CE,CE,Y,107,1.0,20.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,4.0,,,628.0,628.0,0
90,1,10,internet,1,F,32,1,0,0,1,RN,RN,Y,105,1.0,5.0,N,1,931.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,4.0,,,591.0,591.0,0
91,1,20,presencial,1,F,26,1,0,0,1,PA,PA,Y,117,1.0,8.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,0,N, ,N, ,0,,,,,660.0,660.0,1
92,1,25,presencial,1,F,36,2,3,0,0, ,PB,Y,103,1.0,19.0,N,1,200.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,4.0,11.0,0.0,581.0,581.0,0
93,1,10,internet,1,M,40,1,1,0,1,PA,PA,Y,117,1.0,11.0,N,1,461.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,PA,Y,117,0,9.0,2.0,,,660.0,660.0,1
94,1,15,internet,1,M,18,1,0,0,1,SP,SP,Y,5,,,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,398.0,398.0,1
95,1,1,internet,1,M,54,6,0,0,1,PE,PE,N, ,1.0,10.0,N,1,381.0,0.0,1,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,5.0,,,552.0,552.0,0
96,1,10,presencial,1,F,68,4,0,0,1,PI,PA,N, ,5.0,9.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,1.0,11.0,0.0,685.0,685.0,1
97,1,20,internet,1,M,54,2,3,0,1,BA,BA,Y,84,1.0,18.0,N,1,260.0,450.0,0,0,0,0,0,0,0,0.0,0,Y,BA,Y,84,0,9.0,1.0,,,456.0,456.0,0
98,1,15,internet,1,F,24,2,0,0,1,CE,CE,Y,107,1.0,7.0,N,1,400.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,CE,Y,107,0,,,,,617.0,617.0,1
99,1,10,presencial,1,M,59,2,2,0,1,RS,RS,Y,58,1.0,23.0,N,0,2198.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,8.0,1.0,0.0,0.0,960.0,960.0,0
100,7,15,internet,1,F,73,4,0,0,1,RS,RS,Y,58,1.0,20.0,N,1,360.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,960.0,960.0,1
101,1,5,internet,1,F,22,1,0,0,1,PR,PR,Y,44,,,N,1,600.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,873.0,873.0,1
102,1,10,presencial,1,F,35,2,0,0,1,BA,BA,Y,81,1.0,27.0,N,0,500.0,0.0,0,1,0,0,0,0,0,0.0,1,N, ,N, ,0,9.0,4.0,0.0,0.0,402.0,402.0,1
103,1,15,internet,1,M,58,1,0,0,1,BA,MT,N, ,1.0,8.0,N,1,380.0,0.0,0,0,0,0,0,0,0,45000.0,0,Y,MT,N, ,0,9.0,1.0,,,785.0,785.0,1
104,1,15,internet,1,M,45,2,0,0,1,SC,PR,Y,44,1.0,3.0,N,1,495.01,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,875.0,875.0,0
105,1,25,internet,1,F,53,2,0,0,1,PE,SP,Y,5,2.0,2.0,N,1,589.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,708.0,708.0,1
106,2,5,internet,1,F,65,1,0,0,1,MG,MG,Y,33,1.0,10.0,N,1,450.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,2.0,,,371.0,371.0,1
107,1,15,internet,1,F,39,2,0,0,1,BA,BA,N, ,1.0,5.0,N,1,552.16,800.0,1,1,0,0,0,0,0,30000.0,0,Y,BA,N, ,0,9.0,2.0,,,484.0,484.0,1
108,1,25,internet,1,F,19,1,0,0,1,PA,AM,Y,118,1.0,10.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,8.0,3.0,,,690.0,690.0,0
109,1,15,presencial,1,M,39,2,4,0,1,AM,PE,N, ,1.0,,N,1,894.0,0.0,1,1,0,0,0,1,1,0.0,0,Y,AL,Y,97,0,9.0,2.0,11.0,,555.0,555.0,1
110,1,10,presencial,1,F,69,1,0,0,1,RN,RN,Y,105,1.0,5.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,591.0,591.0,0
111,1,20,internet,1,F,27,6,5,0,1,MA,PA,N, ,1.0,6.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,684.0,684.0,1
112,2,1,presencial,1,M,41,2,2,0,1,BA,BA,Y,85,1.0,8.0,N,1,2076.0,0.0,1,0,0,0,0,0,0,50000.0,1,Y,BA,N, ,0,17.0,2.0,17.0,4.0,471.0,471.0,1
113,1,15,correio,1,M,38,2,0,0,1,RN,RN,N, ,2.0,,N,1,550.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RN,N, ,0,9.0,2.0,,,596.0,596.0,1
114,1,15,internet,1,F,35,2,0,0,1,CE,CE,N, ,1.0,8.0,N,1,678.98,0.0,0,1,0,0,0,0,0,0.0,0,N, ,N, ,0,10.0,2.0,,,631.0,631.0,1
115,1,15,internet,1,F,30,1,0,0,1,BA,BA,Y,81,1.0,1.0,N,1,430.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,Y,81,0,11.0,4.0,11.0,,413.0,413.0,1
116,1,25,presencial,1,M,54,2,2,0,1,MA,DF,Y,66,1.0,13.0,N,1,2053.0,0.0,1,0,0,0,0,1,1,0.0,1,Y,DF,Y,66,0,9.0,2.0,0.0,0.0,730.0,730.0,0
117,1,10,presencial,1,F,69,3,0,0,1,MG,MG,Y,29,1.0,0.0,N,0,480.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,351.0,351.0,1
118,1,15,presencial,1,M,79,4,0,0,1,CE,CE,N, ,1.0,0.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,639.0,639.0,1
119,1,10,presencial,1,M,46,2,3,0,0, ,SP,Y,5,1.0,0.0,N,1,702.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,Y,5,0,11.0,5.0,11.0,0.0,518.0,518.0,0
120,1,10,presencial,1,M,45,0,0,0,0, ,BA,Y,81,1.0,0.0,N,1,521.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,BA,N, ,0,9.0,2.0,11.0,0.0,438.0,438.0,0
121,1,15,internet,1,M,43,2,3,0,1,MG,MG,Y,32,1.0,5.0,N,1,1200.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,385.0,385.0,0
122,1,10,internet,1,M,52,2,3,0,1,RN,RN,N, ,1.0,,N,1,1217.61,1100.0,0,0,0,0,0,0,0,40000.0,0,N, ,N, ,0,,1.0,9.0,3.0,591.0,591.0,1
123,1,25,internet,1,F,49,1,0,0,1,MA,MA,Y,125,1.0,1.0,N,1,695.73,0.0,0,0,0,0,0,0,0,0.0,0,Y,MA,Y,125,0,9.0,2.0,11.0,,650.0,650.0,1
124,2,10,internet,1,M,22,2,1,0,1,CE,CE,Y,112,1.0,10.0,N,1,400.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,2.0,,,630.0,630.0,1
