Id,tipo,bairro,tipo_vendedor,quartos,suites,vagas,area_util,area_extra,diferenciais,churrasqueira,estacionamento,piscina,playground,quadra,s_festas,s_jogos,s_ginastica,sauna,vista_mar,origem,preco
2031,0,10,0,4,1,2,80,0,54,1,0,1,0,0,0,0,0,0,0,treino,470000.0
2032,0,10,0,4,1,1,150,0,50,0,0,0,0,0,0,0,0,0,0,treino,900000.0
2033,0,10,0,3,1,2,97,0,54,1,0,1,0,0,0,0,0,0,0,treino,814000.0
2034,0,10,0,2,1,1,57,0,54,1,0,1,0,0,0,0,0,0,0,treino,298500.0
2035,0,43,0,3,1,2,93,0,66,0,0,1,0,0,0,0,0,1,0,treino,700000.0
2036,0,27,0,4,4,3,310,130,27,0,0,0,0,0,1,0,0,0,0,treino,1100000.0
2037,0,46,0,3,1,2,159,0,54,1,0,1,0,0,0,0,0,0,0,treino,700000.0
2038,0,43,0,3,1,2,96,0,54,1,0,1,0,0,0,0,0,0,0,treino,635000.0
2039,0,5,0,2,0,1,55,0,33,0,0,0,0,0,1,0,0,0,0,treino,160000.0
2040,0,10,0,3,1,2,89,0,50,0,0,0,0,0,0,0,0,0,0,treino,480000.0
2041,0,10,0,2,0,1,60,0,50,0,0,0,0,0,0,0,0,0,0,treino,350000.0
2042,0,48,0,4,4,4,161,0,64,0,0,1,0,0,1,0,0,0,0,treino,950000.0
2043,0,15,0,2,1,1,66,0,69,0,0,0,1,0,0,0,1,0,0,treino,440000.0
2044,0,54,0,4,2,2,113,0,54,1,0,1,0,0,0,0,0,0,0,treino,790000.0
2045,0,8,0,4,2,2,133,0,54,1,0,1,0,0,0,0,0,0,0,treino,860000.0
2046,0,17,0,3,1,1,64,0,60,0,0,1,1,0,0,0,0,0,0,treino,370000.0
2047,0,16,0,3,1,1,72,0,60,0,0,1,1,0,0,0,0,0,0,treino,460000.0
2048,0,52,0,2,1,1,70,0,24,0,0,0,1,0,0,0,0,0,0,treino,300000.0
2049,0,36,0,4,4,3,170,0,54,1,0,1,0,0,0,0,0,0,0,treino,1200000.0
2050,0,38,0,2,0,1,56,0,50,0,0,0,0,0,0,0,0,0,0,treino,169000.0
2052,0,27,0,3,1,1,67,0,36,0,1,0,1,0,0,0,0,0,0,treino,330000.0
2053,0,10,0,1,1,0,38,0,66,0,0,1,0,0,0,0,0,1,0,treino,530000.0
2054,0,43,0,4,4,3,204,0,54,1,0,1,0,0,0,0,0,0,0,treino,1200000.0
2055,0,10,0,3,1,1,96,34,77,0,0,0,0,0,1,0,0,0,0,treino,450000.0
2056,0,25,0,3,1,2,70,0,54,1,0,1,0,0,0,0,0,0,0,treino,435000.0
2057,0,52,0,2,1,1,65,0,70,0,0,0,1,0,1,0,0,0,0,treino,320000.0
2058,0,30,0,3,1,1,110,0,50,0,0,0,0,0,0,0,0,0,0,treino,450000.0
2059,0,10,0,3,1,2,170,0,16,1,0,0,1,0,0,0,0,0,0,treino,580000.0
2060,0,15,0,2,1,1,52,0,54,1,0,1,0,0,0,0,0,0,0,treino,420000.0
2062,0,14,0,3,1,1,63,0,3,0,0,0,1,1,0,0,0,0,0,treino,390000.0
2063,0,25,0,2,0,1,60,0,50,0,0,0,0,0,0,0,0,0,0,treino,220000.0
2064,0,10,0,4,4,2,137,0,54,1,0,1,0,0,0,0,0,0,0,treino,900000.0
2065,0,27,0,2,0,0,50,30,50,0,0,0,0,0,0,0,0,0,0,treino,200000.0
2066,0,17,0,2,1,1,54,36,64,0,0,1,0,0,1,0,0,0,0,treino,314000.0
2067,1,24,0,4,1,2,150,0,66,0,0,1,0,0,0,0,0,1,0,treino,700000.0
2068,0,10,0,3,1,2,95,0,86,0,0,0,1,0,0,0,0,1,0,treino,607000.0
2069,0,5,0,2,1,1,57,0,12,1,0,0,0,0,0,0,0,0,0,treino,225000.0
2070,0,10,0,3,1,1,78,0,54,1,0,1,0,0,0,0,0,0,0,treino,395000.0
2071,0,10,0,4,4,2,140,0,54,1,0,1,0,0,0,0,0,0,0,treino,1000000.0
2073,0,16,0,4,4,3,205,0,20,0,0,0,0,0,0,0,0,0,0,treino,1200000.0
2074,0,38,0,3,1,1,90,25,28,0,0,0,0,0,0,0,0,0,0,treino,220000.0
2075,0,66,0,2,1,1,55,0,54,1,0,1,0,0,0,0,0,0,0,treino,350000.0
2076,0,27,0,3,1,1,132,0,70,0,0,0,1,0,1,0,0,0,0,treino,550000.0
2077,0,35,0,2,0,1,68,0,77,0,0,0,0,0,1,0,0,0,0,treino,270000.0
2078,0,10,1,3,1,1,80,0,54,1,0,1,0,0,0,0,0,0,0,treino,380000.0
2079,0,10,0,4,2,2,127,0,54,1,0,1,0,0,0,0,0,0,0,treino,1100000.0
2080,0,10,0,3,2,2,119,0,54,1,0,1,0,0,0,0,0,0,0,treino,750000.0
2081,1,4,0,3,1,2,165,0,50,0,0,0,0,0,0,0,0,0,0,treino,450000.0
2083,0,67,0,2,0,1,52,0,54,1,0,1,0,0,0,0,0,0,0,treino,220000.0
2084,0,15,0,2,1,1,68,0,77,0,0,0,0,0,1,0,0,0,0,treino,470000.0
2085,0,10,0,4,2,2,128,0,60,0,0,1,1,0,0,0,0,0,0,treino,1003680.0
2086,0,10,0,3,1,1,68,0,68,0,0,0,1,1,0,0,0,0,0,treino,460000.0
2087,0,10,0,2,1,2,101,0,60,0,0,1,1,0,0,0,0,0,0,treino,820000.0
2088,0,22,0,3,1,1,68,39,36,0,1,0,1,0,0,0,0,0,0,treino,175000.0
2089,0,65,0,3,2,0,86,0,50,0,0,0,0,0,0,0,0,0,0,treino,350000.0
2090,0,43,0,3,1,1,120,0,54,1,0,1,0,0,0,0,0,0,0,treino,520000.0
2091,0,10,0,3,1,1,100,0,34,0,1,0,0,0,0,0,0,0,0,treino,450000.0
2092,0,10,0,2,1,1,43,0,50,0,0,0,0,0,0,0,0,0,0,treino,380000.0
2093,0,10,0,1,0,1,46,0,54,1,0,1,0,0,0,0,0,0,0,treino,480000.0
2094,0,15,0,3,1,1,60,0,50,0,0,0,0,0,0,0,0,0,0,treino,440000.0
2095,0,10,0,2,1,1,65,0,56,0,0,1,0,0,0,0,0,0,0,treino,380000.0
2097,0,58,0,4,2,3,263,0,27,0,0,0,0,0,1,0,0,0,0,treino,900000.0
2098,1,52,0,5,1,6,285,415,12,1,0,0,0,0,0,0,0,0,0,treino,1000000.0
2099,0,14,0,2,0,1,75,0,50,0,0,0,0,0,0,0,0,0,0,treino,240000.0
2100,0,30,0,3,2,2,102,0,66,0,0,1,0,0,0,0,0,1,0,treino,620000.0
2101,0,10,0,4,3,2,1304,0,62,0,0,1,0,1,0,0,0,0,0,treino,850000.0
2102,0,10,0,4,2,2,150,88,77,0,0,0,0,0,1,0,0,0,0,treino,850000.0
2103,0,43,0,3,0,1,70,0,64,0,0,1,0,0,1,0,0,0,0,treino,270000.0
2104,0,43,0,4,2,3,220,0,60,0,0,1,1,0,0,0,0,0,0,treino,1000000.0
2105,0,22,0,2,1,1,61,0,28,0,0,0,0,0,0,0,0,0,0,treino,320000.0
2106,0,65,0,3,1,1,79,0,77,0,0,0,0,0,1,0,0,0,0,treino,450000.0
2107,0,15,0,3,1,2,79,0,70,0,0,0,1,0,1,0,0,0,0,treino,450000.0
2108,1,6,0,5,2,8,400,545,50,0,0,0,0,0,0,0,0,0,0,treino,950000.0
2109,0,15,0,3,1,2,77,0,56,0,0,1,0,0,0,0,0,0,0,treino,530000.0
2110,0,38,0,2,1,1,60,0,50,0,0,0,0,0,0,0,0,0,0,treino,249000.0
2111,0,43,0,3,1,1,67,0,66,0,0,1,0,0,0,0,0,1,0,treino,474000.0
2112,0,10,0,2,1,1,47,0,55,0,0,1,0,0,0,0,0,0,0,treino,305000.0
2113,0,30,0,3,1,1,113,0,21,0,0,0,0,0,0,0,0,0,0,treino,430000.0
2114,0,10,0,5,1,2,213,83,50,0,0,0,0,0,0,0,0,0,0,treino,650000.0
2115,0,54,0,3,1,2,107,0,66,0,0,1,0,0,0,0,0,1,0,treino,780000.0
2116,0,50,0,4,2,2,139,0,54,1,0,1,0,0,0,0,0,0,0,treino,1065000.0
2117,0,43,0,4,4,3,203,0,50,0,0,0,0,0,0,0,0,0,0,treino,1250000.0
2118,0,27,0,3,1,2,76,0,57,0,1,1,0,0,0,0,0,0,0,treino,456000.0
2119,0,15,0,2,1,1,54,0,54,1,0,1,0,0,0,0,0,0,0,treino,409000.0
2120,0,14,0,2,1,1,61,19,60,0,0,1,1,0,0,0,0,0,0,treino,360000.0
2121,1,37,1,6,3,2,274,76,50,0,0,0,0,0,0,0,0,0,0,treino,959000.0
2122,0,17,0,3,1,1,64,0,54,1,0,1,0,0,0,0,0,0,0,treino,395000.0
2123,0,10,0,3,1,0,73,26,66,0,0,1,0,0,0,0,0,1,0,treino,460000.0
2126,0,27,0,4,2,2,230,0,50,0,0,0,0,0,0,0,0,0,0,treino,850000.0
2128,0,15,0,3,1,1,79,0,50,0,0,0,0,0,0,0,0,0,0,treino,400000.0
2130,0,25,0,2,1,1,59,0,50,0,0,0,0,0,0,0,0,0,0,treino,317000.0
2131,0,30,0,4,2,3,150,0,66,0,0,1,0,0,0,0,0,1,0,treino,1150000.0
2132,0,54,0,3,1,1,120,0,38,0,1,0,0,0,1,0,0,0,0,treino,450000.0
2134,0,63,0,2,0,1,60,0,66,0,0,1,0,0,0,0,0,1,0,treino,340000.0
2135,0,27,0,3,1,1,60,0,52,0,0,1,0,1,0,0,0,0,0,treino,350000.0
2136,0,14,0,3,1,1,60,0,60,0,0,1,1,0,0,0,0,0,0,treino,320000.0
2137,0,16,0,4,2,3,186,0,50,0,0,0,0,0,0,0,0,0,0,treino,950000.0
2138,0,10,0,3,1,1,58,10,66,0,0,1,0,0,0,0,0,1,0,treino,450000.0
2140,0,67,0,3,1,2,85,0,54,1,0,1,0,0,0,0,0,0,0,treino,550000.0
2141,0,10,0,2,1,2,56,0,66,0,0,1,0,0,0,0,0,1,0,treino,440000.0
2142,0,43,0,3,1,1,65,0,77,0,0,0,0,0,1,0,0,0,0,treino,325000.0
2143,0,16,0,3,1,2,106,0,50,0,0,0,0,0,0,0,0,0,0,treino,630000.0
2144,0,15,0,2,0,1,55,0,54,1,0,1,0,0,0,0,0,0,0,treino,295000.0
2145,0,65,0,3,0,1,85,0,77,0,0,0,0,0,1,0,0,0,0,treino,300000.0
2146,0,43,0,3,1,0,75,0,50,0,0,0,0,0,0,0,0,0,0,treino,340000.0
2147,0,0,0,3,1,2,114,0,68,0,0,0,1,1,0,0,0,0,0,treino,425000.0
2148,0,36,0,4,2,3,140,0,54,1,0,1,0,0,0,0,0,0,0,treino,870000.0
2149,0,49,0,3,1,2,85,0,55,0,0,1,0,0,0,0,0,0,0,treino,550000.0
2151,0,10,0,3,1,1,137,0,50,0,0,0,0,0,0,0,0,0,0,treino,460000.0
2152,0,65,0,3,1,2,63,0,68,0,0,0,1,1,0,0,0,0,0,treino,388008.0
2153,0,3,0,3,3,2,149,0,60,0,0,1,1,0,0,0,0,0,0,treino,1100000.0
2154,0,63,0,3,1,1,65,0,77,0,0,0,0,0,1,0,0,0,0,treino,240000.0
2155,0,65,0,2,1,1,53,0,54,1,0,1,0,0,0,0,0,0,0,treino,287535.0
2157,0,65,0,4,4,3,193,0,54,1,0,1,0,0,0,0,0,0,0,treino,1290000.0
2158,0,10,0,4,2,0,128,0,70,0,0,0,1,0,1,0,0,0,0,treino,1003680.0
2159,0,25,0,2,1,1,58,0,66,0,0,1,0,0,0,0,0,1,0,treino,434100.0
2161,1,14,1,3,0,1,80,20,50,0,0,0,0,0,0,0,0,0,0,treino,280000.0
2162,0,10,0,3,2,1,90,0,64,0,0,1,0,0,1,0,0,0,0,treino,400000.0
2163,0,35,0,4,2,3,152,0,50,0,0,0,0,0,0,0,0,0,0,treino,1000000.0
2164,0,25,0,3,1,1,61,0,86,0,0,0,1,0,0,0,0,1,0,treino,360000.0
2165,0,27,0,3,2,2,80,0,55,0,0,1,0,0,0,0,0,0,0,treino,450000.0
2166,0,10,0,4,1,2,160,0,36,0,1,0,1,0,0,0,0,0,0,treino,890000.0
2167,0,10,0,3,1,1,107,0,50,0,0,0,0,0,0,0,0,0,0,treino,350000.0
2168,0,27,0,4,2,3,147,33,60,0,0,1,1,0,0,0,0,0,0,treino,850000.0
2169,0,15,0,4,2,3,166,0,55,0,0,1,0,0,0,0,0,0,0,treino,870000.0
2170,0,43,1,3,1,0,102,0,54,1,0,1,0,0,0,0,0,0,0,treino,560000.0
2171,0,54,0,3,1,0,113,0,50,0,0,0,0,0,0,0,0,0,0,treino,665000.0
2172,0,10,0,2,1,1,48,0,54,1,0,1,0,0,0,0,0,0,0,treino,335000.0
2173,0,65,0,2,1,1,43,0,66,0,0,1,0,0,0,0,0,1,0,treino,340000.0
2175,0,10,0,1,0,1,27,0,54,1,0,1,0,0,0,0,0,0,0,treino,200000.0
2176,0,10,0,3,1,2,102,0,55,0,0,1,0,0,0,0,0,0,0,treino,750000.0
2177,0,23,0,4,1,2,256,0,48,0,0,0,0,0,1,0,0,0,1,treino,950000.0
2178,0,67,0,2,0,1,55,0,50,0,0,0,0,0,0,0,0,0,0,treino,180000.0
2179,0,10,0,2,1,1,56,0,54,1,0,1,0,0,0,0,0,0,0,treino,285000.0
2180,1,22,0,3,3,4,247,203,9,1,0,0,0,0,0,0,0,0,0,treino,1000000.0
2181,0,65,0,3,1,1,75,0,54,1,0,1,0,0,0,0,0,0,0,treino,455000.0
2182,0,16,0,4,4,3,200,0,54,1,0,1,0,0,0,0,0,0,0,treino,1100000.0
2183,0,38,1,3,0,1,59,16,10,1,0,0,0,1,0,0,0,0,0,treino,170000.0
2184,0,25,0,2,1,1,69,0,54,1,0,1,0,0,0,0,0,0,0,treino,310000.0
2185,0,10,0,2,1,1,60,0,58,0,0,1,0,0,0,0,0,0,1,treino,450000.0
2186,0,54,0,4,2,3,126,0,54,1,0,1,0,0,0,0,0,0,0,treino,840000.0
2187,0,43,0,4,1,3,289,0,27,0,0,0,0,0,1,0,0,0,0,treino,1200000.0
2188,0,16,0,3,1,2,128,0,54,1,0,1,0,0,0,0,0,0,0,treino,720000.0
2189,0,43,0,3,1,1,57,0,54,1,0,1,0,0,0,0,0,0,0,treino,325000.0
2190,0,10,0,3,1,1,75,13,50,0,0,0,0,0,0,0,0,0,0,treino,350000.0
2191,0,36,0,2,1,1,63,0,66,0,0,1,0,0,0,0,0,1,0,treino,325000.0
2192,0,14,0,2,1,1,47,0,54,1,0,1,0,0,0,0,0,0,0,treino,268500.0
2193,0,10,0,2,1,1,55,0,75,0,0,0,0,0,1,0,1,0,0,treino,380000.0
2194,0,27,0,3,1,2,82,0,60,0,0,1,1,0,0,0,0,0,0,treino,550000.0
2195,0,27,0,2,0,1,61,0,54,1,0,1,0,0,0,0,0,0,0,treino,280000.0
2196,0,27,0,3,1,1,118,0,38,0,1,0,0,0,1,0,0,0,0,treino,480000.0
2197,0,27,0,4,1,2,170,0,20,0,0,0,0,0,0,0,0,0,0,treino,680000.0
2198,0,65,0,2,1,1,55,0,64,0,0,1,0,0,1,0,0,0,0,treino,300000.0
2199,0,16,0,3,1,2,115,0,64,0,0,1,0,0,1,0,0,0,0,treino,600000.0
2200,0,54,0,3,1,2,101,0,50,0,0,0,0,0,0,0,0,0,0,treino,740000.0
2201,0,43,0,3,1,2,90,0,54,1,0,1,0,0,0,0,0,0,0,treino,490000.0
2202,0,10,0,3,2,2,94,0,66,0,0,1,0,0,0,0,0,1,0,treino,900000.0
2203,0,10,0,3,1,0,119,0,84,0,0,0,0,0,0,0,0,1,0,treino,599000.0
2204,0,43,0,3,1,2,96,0,89,0,0,0,0,0,1,0,0,1,0,treino,630000.0
2206,0,19,0,2,1,1,55,0,54,1,0,1,0,0,0,0,0,0,0,treino,270000.0
2207,0,10,0,4,2,2,126,0,50,0,0,0,0,0,0,0,0,0,0,treino,1100000.0
2208,0,25,0,3,2,2,72,0,54,1,0,1,0,0,0,0,0,0,0,treino,373000.0
2209,0,43,0,3,1,1,75,0,66,0,0,1,0,0,0,0,0,1,0,treino,400000.0
2210,0,43,0,3,1,2,79,0,51,0,0,1,0,0,0,0,0,0,0,treino,525000.0
2211,0,25,0,2,1,1,43,1,51,0,0,1,0,0,0,0,0,0,0,treino,217000.0
2212,0,54,0,3,1,1,68,0,54,1,0,1,0,0,0,0,0,0,0,treino,370000.0
2213,0,10,0,3,1,1,107,0,50,0,0,0,0,0,0,0,0,0,0,treino,400000.0
2214,0,43,0,3,1,2,90,0,54,1,0,1,0,0,0,0,0,0,0,treino,590000.0
2215,0,46,0,4,2,2,208,0,50,0,0,0,0,0,0,0,0,0,0,treino,890000.0
2216,0,10,0,3,1,2,105,0,60,0,0,1,1,0,0,0,0,0,0,treino,598400.0
2218,0,43,0,3,1,1,106,0,66,0,0,1,0,0,0,0,0,1,0,treino,410000.0
2219,0,63,0,3,1,2,82,48,60,0,0,1,1,0,0,0,0,0,0,treino,455000.0
2220,0,10,0,4,2,2,130,0,50,0,0,0,0,0,0,0,0,0,0,treino,800000.0
2221,0,25,0,3,1,1,76,0,50,0,0,0,0,0,0,0,0,0,0,treino,300000.0
2222,0,12,0,2,0,1,81,0,64,0,0,1,0,0,1,0,0,0,0,treino,170000.0
2224,0,54,0,3,1,1,66,0,60,0,0,1,1,0,0,0,0,0,0,treino,380000.0
2225,0,10,0,3,1,1,100,0,51,0,0,1,0,0,0,0,0,0,0,treino,360000.0
2226,0,10,0,2,1,1,56,0,54,1,0,1,0,0,0,0,0,0,0,treino,399000.0
2227,0,10,0,3,2,0,119,0,50,0,0,0,0,0,0,0,0,0,0,treino,580000.0
2229,0,10,0,3,1,2,85,0,54,1,0,1,0,0,0,0,0,0,0,treino,570000.0
2230,0,65,0,2,1,1,63,0,52,0,0,1,0,1,0,0,0,0,0,treino,430000.0
2231,0,10,0,4,1,2,138,0,54,1,0,1,0,0,0,0,0,0,0,treino,670000.0
2233,0,25,0,3,1,1,64,0,54,1,0,1,0,0,0,0,0,0,0,treino,348000.0
2234,0,43,0,3,1,2,100,0,52,0,0,1,0,1,0,0,0,0,0,treino,670000.0
2235,0,10,0,3,1,1,101,0,70,0,0,0,1,0,1,0,0,0,0,treino,600000.0
2236,0,39,0,3,1,2,105,0,54,1,0,1,0,0,0,0,0,0,0,treino,650000.0
2237,1,15,0,3,1,1,138,222,51,0,0,1,0,0,0,0,0,0,0,treino,900000.0
2238,0,54,0,3,1,1,90,0,50,0,0,0,0,0,0,0,0,0,0,treino,260000.0
2239,0,22,0,4,0,1,62,0,60,0,0,1,1,0,0,0,0,0,0,treino,398000.0
2240,0,10,0,3,2,2,128,0,66,0,0,1,0,0,0,0,0,1,0,treino,1150000.0
2241,0,10,0,3,1,2,105,0,54,1,0,1,0,0,0,0,0,0,0,treino,780000.0
2242,0,10,0,3,1,2,105,0,86,0,0,0,1,0,0,0,0,1,0,treino,540000.0
2243,0,27,0,4,2,2,113,0,86,0,0,0,1,0,0,0,0,1,0,treino,750000.0
2244,0,48,0,4,1,2,178,0,40,0,0,0,0,0,0,0,0,0,1,treino,790000.0
2245,0,10,0,1,0,1,29,0,64,0,0,1,0,0,1,0,0,0,0,treino,265000.0
2246,0,43,0,4,2,2,91,0,64,0,0,1,0,0,1,0,0,0,0,treino,550000.0
2247,0,66,0,3,1,2,104,0,54,1,0,1,0,0,0,0,0,0,0,treino,630000.0
2248,0,43,0,3,1,1,70,0,50,0,0,0,0,0,0,0,0,0,0,treino,290000.0
2249,0,17,0,2,0,1,55,0,50,0,0,0,0,0,0,0,0,0,0,treino,165000.0
2250,0,10,0,4,2,2,125,0,55,0,0,1,0,0,0,0,0,0,0,treino,750000.0
2251,0,54,0,3,1,2,89,0,54,1,0,1,0,0,0,0,0,0,0,treino,550000.0
2252,0,10,0,3,1,2,99,0,60,0,0,1,1,0,0,0,0,0,0,treino,761000.0
2253,0,25,0,3,1,2,63,0,36,0,1,0,1,0,0,0,0,0,0,treino,420000.0
2254,0,66,0,3,1,2,110,0,60,0,0,1,1,0,0,0,0,0,0,treino,630000.0
2255,0,65,0,3,1,1,60,0,77,0,0,0,0,0,1,0,0,0,0,treino,450000.0
2256,0,43,0,3,1,2,96,0,60,0,0,1,1,0,0,0,0,0,0,treino,635000.0
2257,0,59,0,3,1,2,105,0,54,1,0,1,0,0,0,0,0,0,0,treino,650000.0
2258,0,17,0,2,1,1,52,0,66,0,0,1,0,0,0,0,0,1,0,treino,270000.0
2259,0,10,0,4,2,2,128,0,60,0,0,1,1,0,0,0,0,0,0,treino,1003680.0
2261,0,54,0,2,1,1,55,0,54,1,0,1,0,0,0,0,0,0,0,treino,350000.0
2262,0,59,0,2,1,1,47,0,52,0,0,1,0,1,0,0,0,0,0,treino,280000.0
2263,0,63,0,4,3,3,210,0,68,0,0,0,1,1,0,0,0,0,0,treino,850000.0
2264,0,0,0,4,2,2,185,0,80,0,0,0,0,0,0,1,0,0,0,treino,750000.0
2265,0,15,0,4,2,3,127,0,70,0,0,0,1,0,1,0,0,0,0,treino,900000.0
2266,0,65,0,4,4,3,203,0,54,1,0,1,0,0,0,0,0,0,0,treino,1200000.0
2267,0,43,0,2,1,1,60,30,70,0,0,0,1,0,1,0,0,0,0,treino,340000.0
2269,0,39,0,4,4,2,260,0,77,0,0,0,0,0,1,0,0,0,0,treino,870000.0
2270,1,14,0,4,0,1,104,0,50,0,0,0,0,0,0,0,0,0,0,treino,320000.0
2271,0,10,0,4,3,2,245,0,51,0,0,1,0,0,0,0,0,0,0,treino,735000.0
2272,0,25,0,2,1,1,64,0,12,1,0,0,0,0,0,0,0,0,0,treino,289000.0
2273,0,65,0,3,1,2,96,0,20,0,0,0,0,0,0,0,0,0,0,treino,590000.0
2274,0,52,0,3,1,2,61,0,54,1,0,1,0,0,0,0,0,0,0,treino,330000.0
2275,1,37,0,3,1,3,178,42,50,0,0,0,0,0,0,0,0,0,0,treino,325000.0
2276,0,10,0,3,1,2,91,0,54,1,0,1,0,0,0,0,0,0,0,treino,545000.0
2277,0,0,0,3,1,1,115,0,50,0,0,0,0,0,0,0,0,0,0,treino,450000.0
2278,0,48,0,3,1,1,68,0,54,1,0,1,0,0,0,0,0,0,0,treino,390000.0
2280,0,10,0,4,3,3,125,30,54,1,0,1,0,0,0,0,0,0,0,treino,680000.0
2281,0,65,0,3,1,1,53,0,54,1,0,1,0,0,0,0,0,0,0,treino,350000.0
2283,1,14,0,3,1,3,250,0,50,0,0,0,0,0,0,0,0,0,0,treino,490000.0
2284,0,43,0,3,1,1,62,0,54,1,0,1,0,0,0,0,0,0,0,treino,350000.0
2285,0,48,0,3,1,1,72,0,54,1,0,1,0,0,0,0,0,0,0,treino,496000.0
2286,0,10,0,3,1,1,74,0,66,0,0,1,0,0,0,0,0,1,0,treino,499000.0
2287,0,27,0,3,1,1,140,0,30,0,0,0,1,0,0,0,0,0,0,treino,680000.0
2288,0,46,0,4,3,2,156,0,54,1,0,1,0,0,0,0,0,0,0,treino,880000.0
2289,0,4,0,3,1,1,70,12,50,0,0,0,0,0,0,0,0,0,0,treino,170000.0
2290,0,10,0,3,3,2,163,110,48,0,0,0,0,0,1,0,0,0,1,treino,700000.0
2291,0,43,0,4,2,2,186,0,20,0,0,0,0,0,0,0,0,0,0,treino,1140000.0
2292,0,66,0,2,1,1,70,0,70,0,0,0,1,0,1,0,0,0,0,treino,450000.0
2294,0,10,0,2,1,1,47,0,64,0,0,1,0,0,1,0,0,0,0,treino,320000.0
2295,0,39,1,4,0,1,106,0,50,0,0,0,0,0,0,0,0,0,0,treino,340000.0
2296,0,10,0,3,1,1,83,37,50,0,0,0,0,0,0,0,0,0,0,treino,285000.0
2297,0,11,0,3,1,1,69,0,86,0,0,0,1,0,0,0,0,1,0,treino,480000.0
2298,0,3,0,4,4,4,154,0,54,1,0,1,0,0,0,0,0,0,0,treino,850000.0
2299,0,11,0,1,0,1,38,0,54,1,0,1,0,0,0,0,0,0,0,treino,320000.0
2300,0,10,0,3,1,2,117,0,54,1,0,1,0,0,0,0,0,0,0,treino,650000.0
2301,0,10,0,3,1,2,101,0,55,0,0,1,0,0,0,0,0,0,0,treino,750000.0
2302,0,15,0,3,1,0,63,0,54,1,0,1,0,0,0,0,0,0,0,treino,400000.0
2303,0,48,0,2,1,1,50,0,64,0,0,1,0,0,1,0,0,0,0,treino,450000.0
2304,0,27,0,3,0,0,87,0,50,0,0,0,0,0,0,0,0,0,0,treino,438000.0
2305,0,30,0,3,1,2,180,50,77,0,0,0,0,0,1,0,0,0,0,treino,590000.0
2306,0,15,0,3,1,0,77,0,54,1,0,1,0,0,0,0,0,0,0,treino,535000.0
2307,0,64,0,3,1,1,61,0,54,1,0,1,0,0,0,0,0,0,0,treino,230000.0
2308,1,10,0,3,0,3,141,0,50,0,0,0,0,0,0,0,0,0,0,treino,1000000.0
